Polymer,T_K,P_Mpa,exp_CO2_sol_g_g,pred_CO2_sol_g_g,train/test,Polymer_SMILES,Polymer_SELFIES,Polymer_ohe
PBS,393.15,6.599,0.06014,0.05455,test,[*]OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBS,393.15,16.035,0.144,0.12873,test,[*]OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBS,423.15,4.065,0.02777,0.03041,test,[*]OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBS,453.15,4.132,0.02315,0.02655,test,[*]OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBS,453.15,6.039,0.03411,0.03678,test,[*]OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBSA,323.15,9.844,0.1503,0.11252,test,[*]OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBSA,393.15,8.053,0.0728,0.07409,test,[*]OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBSA,393.15,8.63,0.07814,0.07685,test,[*]OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBSA,423.15,20.074,0.1374,0.12956,test,[*]OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBSA,453.15,2.079,0.01184,0.00909,test,[*]OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PBSA,453.15,16.139,0.09235,0.10597,test,[*]OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(*)=O,[C][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HDPE,433.2,6.936,0.0407,0.04243,test,[*]CC[*],[C][C][C][C],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HDPE,433.2,16.347,0.123,0.12307,test,[*]CC[*],[C][C][C][C],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HDPE,453.2,7.055,0.035,0.03516,test,[*]CC[*],[C][C][C][C],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PLGA,308.0,11.92,0.1968,0.16525,test,[*]OC(=O)COC(=O)C(C)[*],[C][O][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PLGA,313.0,22.99,0.2636,0.25098,test,[*]OC(=O)COC(=O)C(C)[*],[C][O][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PLGA,323.0,21.02,0.2339,0.23919,test,[*]OC(=O)COC(=O)C(C)[*],[C][O][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PLLA,308.0,20.92,0.4139,0.40167,test,[*]OC(=O)[C@H](C)[*],[C][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PLLA,313.0,10.44,0.245,0.2366,test,[*]OC(=O)[C@H](C)[*],[C][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PLLA,313.0,22.98,0.4051,0.40961,test,[*]OC(=O)[C@H](C)[*],[C][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE55,306.0,15.44,0.3145,0.25326,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE55,306.0,31.02,0.6366,0.6155,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE55,343.0,0.18,0.0191,0.01619,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE55,343.0,2.41,0.0385,0.04658,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE55,343.0,21.13,0.3645,0.34532,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE60,306.2,4.09,0.0498,0.04539,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE60,306.2,5.06,0.0793,0.05341,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE60,306.2,10.15,0.1509,0.20559,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE60,344.0,15.19,0.2184,0.29166,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE60,344.0,20.11,0.3652,0.39427,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE67,309.2,0.13,0.0049,0.00999,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE67,309.2,0.6,0.0093,0.01199,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE67,309.2,10.38,0.1281,0.17697,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE67,309.2,15.09,0.3023,0.23091,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE67,309.2,31.0,0.5895,0.58258,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CPE67,343.3,28.14,0.4444,0.45435,test,CC(C)(CO[*])COOC(CC)(CO)COOC(=O)CCCCC(=O)OOC(=O)c1ccc(C(=O)OOC(=O)c2cccc(C(=O)O(OCCO[*]))c2)cc1,[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O].[C][Branch1][Ring1][C][O][O].[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O].[C][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PPO(H),373.15,10.111,0.0933,0.08613,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PPO(H),373.15,11.965,0.10601,0.08541,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PPO(H),373.15,13.935,0.12026,0.11179,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PPO(H),423.15,6.101,0.03696,0.04422,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PPO(H),473.15,8.085,0.03423,0.03731,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PPO(H),473.15,12.078,0.05263,0.0565,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PPO(L),373.15,8.051,0.07938,0.06808,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
PPO(L),423.15,8.133,0.04573,0.03679,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
PPO(L),473.15,6.12,0.02474,0.02945,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
PPO(L),473.15,12.122,0.05048,0.06355,test,[*]Oc1c(C)cc(*)cc1C,[C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
PS,373.2,17.476,0.1104,0.10221,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,413.2,10.721,0.0526,0.05884,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,413.2,20.036,0.1012,0.1038,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,453.2,2.472,0.0094,0.00824,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,453.2,15.444,0.0596,0.06573,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,338.22,11.96,0.10614,0.09588,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,362.5,8.09,0.06231,0.06303,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,383.22,6.55,0.03597,0.03132,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,383.22,20.42,0.10514,0.09791,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PS,402.51,33.05,0.1349,0.1337,test,[*]CC(*)c1ccccc1,[C][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
