Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Sum_of_frags
51,pva,74,22,ipa,23.5,20,75,1.3,0.9406,2.98019802,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,pva,74,22,ipa,23.5,15,75,1.3,2.1782,2.00990099,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,pva,74,22,ipa,23.5,10,75,1.3,3.4653,1.663366337,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,pva,74,22,ipa,23.5,5,75,1.3,7.8713,3.673267327,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,pva,74,10,ipa,23.5,10,30,0.06,0.123,77,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,pva,74,10,ipa,23.5,12.5,30,0.06,0.138,59,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,pva,74,10,ipa,23.5,15,30,0.06,0.145,46,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,pva,74,10,ipa,23.5,20,30,0.06,0.163,30,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,pva,74,22,ipa,23.5,10,40,3,0.0311,142.9,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,pva,74,22,ethanol,26.5,8,50,3,0.0328,115.15,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,pva,74,22,ethanol,26.5,10,40,3,0.0355,77.91,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,pva,74,22,ipa,23.5,8,50,3,0.0357,148.27,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,pva,74,22,ethanol,26.5,15,40,3,0.0376,103.76,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,pva,74,22,ipa,23.5,10,40,3,0.0419,137.44,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,pva,74,22,ethanol,26.5,10,40,3,0.044,57.29,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,pva,74,22,ipa,23.5,12.5,50,3,0.0484,95.29,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,pva,74,22,ipa,23.5,12.5,50,3,0.0487,98.1,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,pva,74,22,ethanol,26.5,12.5,33,3,0.0489,78.27,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,pva,74,22,ethanol,26.5,12.5,50,3,0.052,80.66,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,pva,74,22,ethanol,26.5,10,60,3,0.0522,90.23,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,pva,74,22,ipa,23.5,12.5,50,3,0.0528,105.46,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
