Unnamed: 0,Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Augmented_SMILES,SD
29,PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,MEK,CCC(=O)C,"['COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCC(=O)C', 'c1cc(ccc1S(c1ccc(cc1)Oc1ccc(C(C)(c2ccc(C)cc2)C)cc1)(=O)=O)OC.C(C)C(C)=O', 'c1c(Oc2ccc(cc2)C(c2ccc(C)cc2)(C)C)ccc(c1)S(=O)(c1ccc(OC)cc1)=O.C(CC)(C)=O', 'c1c(OC)ccc(c1)S(c1ccc(Oc2ccc(C(C)(C)c3ccc(C)cc3)cc2)cc1)(=O)=O.O=C(C)CC', 'c1cc(S(=O)(c2ccc(cc2)OC)=O)ccc1Oc1ccc(cc1)C(C)(C)c1ccc(C)cc1.CCC(C)=O', 'c1(Oc2ccc(S(=O)(=O)c3ccc(cc3)OC)cc2)ccc(cc1)C(C)(C)c1ccc(C)cc1.C(C(=O)C)C', 'c1(ccc(cc1)C(C)(C)c1ccc(Oc2ccc(cc2)S(=O)(c2ccc(OC)cc2)=O)cc1)C.C(C)(CC)=O', 'c1cc(S(=O)(c2ccc(OC)cc2)=O)ccc1Oc1ccc(cc1)C(c1ccc(C)cc1)(C)C.CC(CC)=O', 'c1(ccc(S(=O)(c2ccc(OC)cc2)=O)cc1)Oc1ccc(C(C)(c2ccc(cc2)C)C)cc1.CC(=O)CC']",11.17
30,P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,MEK,CCC(=O)C,"['Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCC(=O)C', 'c1(Cc2ccc(C)cc2)ccc(cc1)-c1ccc(c(c1)C)N1C(=O)c2c(cc(C(=O)c3cc4C(N(C(=O)c4cc3)C)=O)cc2)C1=O.C(C)(=O)CC', 'C(=O)(c1cc2C(N(C)C(=O)c2cc1)=O)c1ccc2c(c1)C(=O)N(c1ccc(cc1C)-c1ccc(cc1)Cc1ccc(cc1)C)C2=O.C(C)C(=O)C', 'O=C1N(c2ccc(-c3ccc(Cc4ccc(cc4)C)cc3)cc2C)C(c2c1ccc(C(c1ccc3c(c1)C(=O)N(C)C3=O)=O)c2)=O.C(CC)(C)=O', 'C1(c2c(ccc(c2)C(=O)c2cc3c(cc2)C(=O)N(C)C3=O)C(N1c1c(cc(cc1)-c1ccc(cc1)Cc1ccc(cc1)C)C)=O)=O.CC(CC)=O', 'c1(ccc(Cc2ccc(cc2)C)cc1)-c1cc(C)c(N2C(c3c(ccc(C(=O)c4cc5C(=O)N(C)C(=O)c5cc4)c3)C2=O)=O)cc1.CCC(C)=O', 'Cc1c(ccc(c1)-c1ccc(Cc2ccc(C)cc2)cc1)N1C(=O)c2c(C1=O)ccc(c2)C(c1cc2c(cc1)C(N(C2=O)C)=O)=O.C(C)C(C)=O', 'c1c(cc(c(c1)N1C(=O)c2cc(ccc2C1=O)C(=O)c1ccc2C(N(C)C(c2c1)=O)=O)C)-c1ccc(cc1)Cc1ccc(C)cc1.O=C(C)CC', 'c1c(C(=O)c2ccc3c(c2)C(N(c2ccc(-c4ccc(Cc5ccc(cc5)C)cc4)cc2C)C3=O)=O)ccc2c1C(=O)N(C)C2=O.C(=O)(CC)C']",5.43
31,Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,MEK,CCC(=O)C,"['Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCC(=O)C', 'c1(N2C(c3c(ccc(C(c4ccc5c(c4)C(N(C5=O)C)=O)=O)c3)C2=O)=O)ccc(cc1)C1(C)c2c(ccc(c2)C)C(C)(C)C1.CC(CC)=O', 'c12C(=O)N(C(=O)c2cc(cc1)C(=O)c1ccc2C(=O)N(C(=O)c2c1)c1ccc(C2(C)c3c(C(C)(C)C2)ccc(C)c3)cc1)C.C(C)(=O)CC', 'c1cc(cc2C(=O)N(c3ccc(C4(C)CC(c5c4cc(cc5)C)(C)C)cc3)C(=O)c12)C(=O)c1cc2C(=O)N(C)C(c2cc1)=O.CCC(C)=O', 'c1c(ccc(C2(C)CC(c3ccc(C)cc32)(C)C)c1)N1C(c2c(C1=O)cc(C(c1cc3c(cc1)C(=O)N(C)C3=O)=O)cc2)=O.C(C)C(=O)C', 'c1(ccc2c(c1)C(N(c1ccc(C3(C)c4cc(C)ccc4C(C3)(C)C)cc1)C2=O)=O)C(c1ccc2c(c1)C(=O)N(C2=O)C)=O.O=C(C)CC', 'c12C(N(C(c1cc(C(c1ccc3c(c1)C(=O)N(C3=O)C)=O)cc2)=O)c1ccc(cc1)C1(C)c2c(C(C1)(C)C)ccc(C)c2)=O.C(=O)(C)CC', 'c12C(CC(c2ccc(C)c1)(C)C)(c1ccc(N2C(c3ccc(C(c4ccc5c(C(N(C5=O)C)=O)c4)=O)cc3C2=O)=O)cc1)C.O=C(CC)C', 'O=C1N(C(c2ccc(C(=O)c3ccc4c(c3)C(N(c3ccc(cc3)C3(C)c5c(C(C3)(C)C)ccc(c5)C)C4=O)=O)cc12)=O)C.C(C(C)=O)C']",17.01
32,PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,MEK,CCC(=O)C,"['Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCC(=O)C', 'c1c(Oc2ccc3c(c2)C(=O)N(c2cccc(C)c2)C3=O)ccc(c1)C(c1ccc(cc1)Oc1ccc2c(C(N(C2=O)C)=O)c1)(C)C.C(C(C)=O)C', 'CC(c1ccc(cc1)Oc1ccc2c(C(N(C)C2=O)=O)c1)(C)c1ccc(Oc2cc3C(N(C(=O)c3cc2)c2cc(ccc2)C)=O)cc1.C(C)C(=O)C', 'c1c2C(N(C)C(c2ccc1Oc1ccc(C(C)(c2ccc(Oc3cc4C(N(C(c4cc3)=O)c3cc(ccc3)C)=O)cc2)C)cc1)=O)=O.CC(=O)CC', 'CC(c1ccc(cc1)Oc1cc2C(N(C)C(c2cc1)=O)=O)(c1ccc(Oc2cc3c(cc2)C(N(c2cccc(c2)C)C3=O)=O)cc1)C.C(C(=O)C)C', 'c1c(Oc2cc3C(=O)N(c4cc(C)ccc4)C(c3cc2)=O)ccc(C(c2ccc(Oc3cc4c(C(N(C4=O)C)=O)cc3)cc2)(C)C)c1.O=C(C)CC', 'c1(ccc(cc1)C(C)(C)c1ccc(Oc2ccc3C(=O)N(C)C(=O)c3c2)cc1)Oc1cc2c(C(=O)N(C2=O)c2cccc(C)c2)cc1.O=C(CC)C', 'c1(ccc(Oc2ccc3C(N(C(c3c2)=O)C)=O)cc1)C(c1ccc(cc1)Oc1cc2c(C(=O)N(c3cc(ccc3)C)C2=O)cc1)(C)C.C(=O)(CC)C', 'O(c1ccc2C(N(C)C(c2c1)=O)=O)c1ccc(cc1)C(C)(C)c1ccc(cc1)Oc1ccc2C(=O)N(c3cc(C)ccc3)C(=O)c2c1.C(C)C(C)=O']",6.94
33,PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Acetone,CC(=O)C,"['C/C(C)=C(C)\\[Si](C)(C)C.CC(=O)C', '[Si](C)(C(=C(C)C)C)(C)C.C(C)(C)=O', '[Si](C)(C)(C(=C(C)C)C)C.C(=O)(C)C', 'CC(=C([Si](C)(C)C)C)C.O=C(C)C', 'C[Si](C)(C(=C(C)C)C)C.C(C)(=O)C']",12.92
34,PDMS,C[Si](C)(C)OC,Acetone,CC(=O)C,"['C[Si](C)(C)OC.CC(=O)C', 'O([Si](C)(C)C)C.CC(C)=O', 'O(C)[Si](C)(C)C.C(C)(C)=O', '[Si](OC)(C)(C)C.C(=O)(C)C', 'C[Si](C)(OC)C.O=C(C)C']",9.28
36,PAN,CCC(C)C#N,Acetone,CC(=O)C,"['CCC(C)C#N.CC(=O)C', 'C(C(C#N)C)C.C(C)(=O)C', 'C(C)(C#N)CC.CC(C)=O', 'CCC(C#N)C.C(=O)(C)C', 'CC(C#N)CC.O=C(C)C']",0.27
37,PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Acetone,CC(=O)C,"['COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(=O)C', 'O=S(c1ccc(cc1)OC)(=O)c1ccc(C)cc1.C(C)(=O)C', 'COc1ccc(S(=O)(=O)c2ccc(C)cc2)cc1.CC(C)=O', 'c1cc(C)ccc1S(=O)(=O)c1ccc(OC)cc1.O=C(C)C', 'O=S(=O)(c1ccc(OC)cc1)c1ccc(C)cc1.C(=O)(C)C', 'c1cc(S(=O)(=O)c2ccc(cc2)C)ccc1OC.C(C)(C)=O']",11.82
39,P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Acetone,CC(=O)C,"['Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CC(=O)C', 'O=C1N(C)C(c2cc(ccc21)C(=O)c1cc2C(=O)N(c3c(cc(cc3)-c3ccc(cc3)Cc3ccc(cc3)C)C)C(=O)c2cc1)=O.O=C(C)C', 'N1(C(c2ccc(C(c3ccc4C(N(c5c(cc(-c6ccc(Cc7ccc(cc7)C)cc6)cc5)C)C(c4c3)=O)=O)=O)cc2C1=O)=O)C.CC(C)=O', 'O=C1N(C)C(=O)c2cc(C(c3ccc4c(c3)C(=O)N(C4=O)c3ccc(-c4ccc(Cc5ccc(cc5)C)cc4)cc3C)=O)ccc12.C(C)(C)=O', 'c1c(ccc(c1)-c1cc(C)c(cc1)N1C(=O)c2cc(ccc2C1=O)C(=O)c1cc2c(C(N(C)C2=O)=O)cc1)Cc1ccc(C)cc1.C(C)(=O)C', 'C1(=O)c2cc(ccc2C(=O)N1c1ccc(cc1C)-c1ccc(Cc2ccc(cc2)C)cc1)C(c1ccc2C(=O)N(C(c2c1)=O)C)=O.C(=O)(C)C']",5.94
40,Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Acetone,CC(=O)C,"['Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(=O)C', 'N1(C)C(=O)c2c(C1=O)ccc(C(c1ccc3C(N(C(c3c1)=O)c1ccc(C3(CC(C)(c4ccc(cc34)C)C)C)cc1)=O)=O)c2.O=C(C)C', 'c12c(cc(C)cc2)C(CC1(C)C)(C)c1ccc(N2C(c3c(ccc(c3)C(=O)c3ccc4C(=O)N(C)C(=O)c4c3)C2=O)=O)cc1.CC(C)=O', 'c1(ccc(cc1)N1C(c2ccc(C(c3cc4C(=O)N(C(=O)c4cc3)C)=O)cc2C1=O)=O)C1(C)CC(C)(c2c1cc(C)cc2)C.C(C)(=O)C', 'C1(=O)N(C)C(=O)c2c1cc(C(=O)c1cc3C(=O)N(C(=O)c3cc1)c1ccc(cc1)C1(C)c3c(ccc(C)c3)C(C1)(C)C)cc2.C(=O)(C)C', 'c1(C(c2cc3c(C(N(c4ccc(cc4)C4(C)c5cc(ccc5C(C4)(C)C)C)C3=O)=O)cc2)=O)ccc2c(c1)C(=O)N(C2=O)C.C(C)(C)=O']",15.58
41,PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Acetone,CC(=O)C,"['Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CC(=O)C', 'c1c(ccc2c1C(N(c1cc(C)ccc1)C2=O)=O)Oc1ccc(C(C)(C)c2ccc(Oc3ccc4c(c3)C(=O)N(C)C4=O)cc2)cc1.O=C(C)C', 'c1c(ccc2C(=O)N(C(=O)c21)c1cc(C)ccc1)Oc1ccc(C(C)(C)c2ccc(cc2)Oc2ccc3c(C(=O)N(C)C3=O)c2)cc1.CC(C)=O']",7.17
42,PTMSP,C/C(C)=C(C)\[Si](C)(C)C,IPA,CC(C)O,"['C/C(C)=C(C)\\[Si](C)(C)C.CC(C)O', 'C[Si](C(C)=C(C)C)(C)C.C(C)(C)O', '[Si](C)(C(=C(C)C)C)(C)C.OC(C)C', 'C(C)(C)=C([Si](C)(C)C)C.CC(O)C', 'CC(=C(C)[Si](C)(C)C)C.C(O)(C)C', 'C[Si](C)(C(=C(C)C)C)C.C(C)(O)C']",27.51
43,PDMS,C[Si](C)(C)OC,IPA,CC(C)O,"['C[Si](C)(C)OC.CC(C)O', 'C[Si](C)(OC)C.OC(C)C', 'CO[Si](C)(C)C.CC(O)C', 'O(C)[Si](C)(C)C.C(C)(O)C', 'C[Si](OC)(C)C.C(C)(C)O', '[Si](C)(C)(OC)C.C(O)(C)C']",10.71
44,PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,IPA,CC(C)O,"['CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CC(C)O', 'C(CCCCCC(=O)OCCCCCOCCCCOCCCCC)CCCCCNC.C(C)(O)C', 'C(OCCCCOCCCCCOC(CCCCCCCCCCCNC)=O)CCCC.OC(C)C', 'C(CCOCCCCOCCCCC)CCOC(CCCCCCCCCCCNC)=O.CC(O)C', 'CCCCCOCCCCOCCCCCOC(=O)CCCCCCCCCCCNC.C(C)(C)O']",20.51
46,PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,IPA,CC(C)O,"['COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(C)O', 'c1(S(=O)(=O)c2ccc(C)cc2)ccc(OC)cc1.C(C)(O)C', 'c1(ccc(cc1)C)S(c1ccc(cc1)OC)(=O)=O.CC(O)C', 'Cc1ccc(cc1)S(=O)(c1ccc(cc1)OC)=O.OC(C)C', 'c1c(ccc(c1)OC)S(=O)(c1ccc(cc1)C)=O.C(O)(C)C', 'O(c1ccc(S(=O)(c2ccc(C)cc2)=O)cc1)C.C(C)(C)O']",2.28
47,PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,IPA,CC(C)O,"['COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CC(C)O', 'c1(C(C)(c2ccc(C)cc2)C)ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(OC)cc1.CC(O)C', 'c1(ccc(cc1)OC)S(=O)(=O)c1ccc(Oc2ccc(cc2)C(c2ccc(C)cc2)(C)C)cc1.C(O)(C)C', 'c1cc(ccc1S(=O)(=O)c1ccc(Oc2ccc(C(C)(c3ccc(cc3)C)C)cc2)cc1)OC.C(C)(O)C', 'C(C)(c1ccc(cc1)C)(c1ccc(Oc2ccc(S(=O)(=O)c3ccc(OC)cc3)cc2)cc1)C.OC(C)C', 'S(=O)(=O)(c1ccc(OC)cc1)c1ccc(Oc2ccc(cc2)C(C)(c2ccc(C)cc2)C)cc1.C(C)(C)O']",1.61
48,P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,IPA,CC(C)O,"['Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CC(C)O', 'c1(N2C(=O)c3cc(ccc3C2=O)C(=O)c2cc3C(=O)N(C)C(=O)c3cc2)ccc(cc1C)-c1ccc(Cc2ccc(C)cc2)cc1.CC(O)C', 'c1c(C(c2cc3c(C(N(C3=O)c3c(cc(-c4ccc(Cc5ccc(C)cc5)cc4)cc3)C)=O)cc2)=O)ccc2C(N(C)C(c12)=O)=O.OC(C)C', 'C1(=O)N(C(c2ccc(C(c3ccc4c(C(=O)N(C4=O)c4c(cc(-c5ccc(Cc6ccc(cc6)C)cc5)cc4)C)c3)=O)cc21)=O)C.C(C)(C)O', 'c1c(c(ccc1-c1ccc(cc1)Cc1ccc(cc1)C)N1C(=O)c2c(ccc(c2)C(=O)c2cc3C(=O)N(C)C(=O)c3cc2)C1=O)C.C(O)(C)C', 'c1cc(C)ccc1Cc1ccc(cc1)-c1cc(C)c(N2C(c3cc(ccc3C2=O)C(c2ccc3C(N(C(c3c2)=O)C)=O)=O)=O)cc1.C(C)(O)C']",2.22
49,Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,IPA,CC(C)O,"['Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(C)O', 'C1C(C)(C)c2ccc(C)cc2C1(C)c1ccc(cc1)N1C(c2cc(C(=O)c3cc4C(N(C)C(=O)c4cc3)=O)ccc2C1=O)=O.OC(C)C', 'c1cc(C2(C)CC(C)(C)c3c2cc(cc3)C)ccc1N1C(c2c(cc(C(=O)c3cc4c(cc3)C(=O)N(C4=O)C)cc2)C1=O)=O.C(O)(C)C', 'Cc1ccc2c(C(CC2(C)C)(C)c2ccc(cc2)N2C(c3c(C2=O)cc(cc3)C(c2ccc3c(c2)C(=O)N(C)C3=O)=O)=O)c1.CC(O)C', 'c1(cc2c(C(N(C2=O)c2ccc(cc2)C2(C)c3c(C(C2)(C)C)ccc(C)c3)=O)cc1)C(=O)c1ccc2C(=O)N(C)C(c2c1)=O.C(C)(O)C', 'c1(C2(C)c3c(C(C2)(C)C)ccc(C)c3)ccc(cc1)N1C(=O)c2ccc(C(=O)c3cc4C(=O)N(C(c4cc3)=O)C)cc2C1=O.C(C)(C)O']",5.22
50,PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,IPA,CC(C)O,"['Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CC(C)O', 'c1c(Oc2ccc(C(c3ccc(cc3)Oc3cc4c(C(N(c5cc(ccc5)C)C4=O)=O)cc3)(C)C)cc2)cc2C(N(C(=O)c2c1)C)=O.C(C)(C)O', 'O=C1c2c(C(=O)N1C)ccc(Oc1ccc(C(C)(C)c3ccc(cc3)Oc3ccc4c(c3)C(=O)N(C4=O)c3cccc(c3)C)cc1)c2.OC(C)C', 'c1ccc(cc1C)N1C(c2c(C1=O)cc(Oc1ccc(C(C)(C)c3ccc(cc3)Oc3ccc4c(C(N(C)C4=O)=O)c3)cc1)cc2)=O.CC(O)C', 'C1(=O)c2c(C(N1c1cccc(C)c1)=O)cc(Oc1ccc(cc1)C(C)(c1ccc(Oc3ccc4c(c3)C(=O)N(C4=O)C)cc1)C)cc2.C(O)(C)C', 'c1cc(C(c2ccc(cc2)Oc2cc3c(C(N(c4cccc(C)c4)C3=O)=O)cc2)(C)C)ccc1Oc1ccc2C(N(C(c2c1)=O)C)=O.C(C)(O)C']",1.12
51,PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Ethanol,CCO,"['C/C(C)=C(C)\\[Si](C)(C)C.CCO', 'CC(=C(C)[Si](C)(C)C)C.C(O)C', 'C(=C(C)C)([Si](C)(C)C)C.OCC', 'CC(C)=C([Si](C)(C)C)C.C(C)O']",15.13
52,PDMS,C[Si](C)(C)OC,Ethanol,CCO,"['C[Si](C)(C)OC.CCO', '[Si](OC)(C)(C)C.OCC', 'C[Si](OC)(C)C.C(C)O', '[Si](C)(C)(OC)C.C(O)C']",3.6
53,PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Ethanol,CCO,"['CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCO', 'C(OC(CCCCCCCCCCCNC)=O)CCCCOCCCCOCCCCC.OCC', 'N(C)CCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.C(C)O', 'O(CCCCOCCCCC)CCCCCOC(=O)CCCCCCCCCCCNC.C(O)C']",12.29
54,PAN,CCC(C)C#N,Ethanol,CCO,"['CCC(C)C#N.CCO', 'C(C)(CC)C#N.C(O)C', 'CCC(C#N)C.C(C)O', 'N#CC(CC)C.OCC']",0.33
55,PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Ethanol,CCO,"['COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCO', 'c1(ccc(cc1)S(=O)(c1ccc(cc1)OC)=O)C.OCC', 'c1(C)ccc(cc1)S(=O)(c1ccc(cc1)OC)=O.C(O)C', 'O=S(=O)(c1ccc(OC)cc1)c1ccc(cc1)C.C(C)O']",2.76
56,PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Ethanol,CCO,"['COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCO', 'O=S(c1ccc(cc1)OC)(c1ccc(Oc2ccc(C(C)(c3ccc(cc3)C)C)cc2)cc1)=O.OCC', 'c1cc(ccc1C(C)(C)c1ccc(Oc2ccc(S(c3ccc(OC)cc3)(=O)=O)cc2)cc1)C.C(O)C', 'c1cc(Oc2ccc(cc2)C(C)(C)c2ccc(C)cc2)ccc1S(c1ccc(cc1)OC)(=O)=O.C(C)O']",2.28
58,Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Ethanol,CCO,"['Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCO', 'N1(c2ccc(C3(C)CC(C)(C)c4ccc(cc34)C)cc2)C(=O)c2ccc(C(c3cc4C(N(C(=O)c4cc3)C)=O)=O)cc2C1=O.C(C)O', 'c1c2C(N(C)C(c2cc(C(c2ccc3c(c2)C(N(c2ccc(cc2)C2(c4c(C(C)(C2)C)ccc(c4)C)C)C3=O)=O)=O)c1)=O)=O.C(O)C', 'c1cc2c(cc1C(c1ccc3c(c1)C(=O)N(C)C3=O)=O)C(N(c1ccc(cc1)C1(CC(C)(C)c3ccc(cc31)C)C)C2=O)=O.OCC']",6.3
59,PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Ethanol,CCO,"['Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCO', 'CN1C(=O)c2cc(ccc2C1=O)Oc1ccc(C(c2ccc(cc2)Oc2ccc3c(C(=O)N(c4cccc(c4)C)C3=O)c2)(C)C)cc1.OCC', 'c1cc(cc2C(=O)N(C(c12)=O)C)Oc1ccc(cc1)C(C)(C)c1ccc(Oc2cc3c(cc2)C(=O)N(c2cc(ccc2)C)C3=O)cc1.C(O)C', 'C1(c2c(ccc(c2)Oc2ccc(cc2)C(C)(c2ccc(Oc3cc4c(cc3)C(=O)N(C)C4=O)cc2)C)C(N1c1cccc(c1)C)=O)=O.C(C)O']",1.25
60,PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Methanol,CO,"['C/C(C)=C(C)\\[Si](C)(C)C.CO', 'CC(C)=C([Si](C)(C)C)C.OC']",2.57
62,PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Methanol,CO,"['CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CO', 'C(CCOCCCCOCCCCCOC(CCCCCCCCCCCNC)=O)CC.OC']",11.47
63,PAN,CCC(C)C#N,Methanol,CO,"['CCC(C)C#N.CO', 'C(C(C#N)C)C.OC']",2.91
64,PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Methanol,CO,"['COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CO', 'c1c(ccc(OC)c1)S(=O)(c1ccc(C)cc1)=O.OC']",3.29
65,PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Methanol,CO,"['COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CO', 'c1cc(C(C)(C)c2ccc(Oc3ccc(S(=O)(c4ccc(OC)cc4)=O)cc3)cc2)ccc1C.OC']",2.63
66,P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Methanol,CO,"['Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CO', 'O=C1N(c2c(C)cc(-c3ccc(Cc4ccc(C)cc4)cc3)cc2)C(c2cc(C(=O)c3cc4c(C(N(C)C4=O)=O)cc3)ccc12)=O.OC']",2.5
67,Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Methanol,CO,"['Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CO', 'c1(cc2c(cc1)C(N(c1ccc(C3(C)c4c(ccc(C)c4)C(C3)(C)C)cc1)C2=O)=O)C(c1ccc2C(=O)N(C)C(=O)c2c1)=O.OC']",8.01
68,PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Methanol,CO,"['Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CO', 'c1cc2c(C(N(C2=O)C)=O)cc1Oc1ccc(C(C)(c2ccc(Oc3cc4C(=O)N(C(=O)c4cc3)c3cc(C)ccc3)cc2)C)cc1.OC']",2.28
